name,mentions,images,evidence_lines,raca,classe,genero,orientacao_sexual,fonte_raca,fonte_classe,fonte_genero,fonte_orientacao_sexual,wikidata_qid,wikidata_label,wikidata_description,wikidata_score,wikidata_url,wikipedia_pt,wikipedia_en,wikidata_query,ocupacoes_wikidata,classe_ocupacional
David Wengrow,1,['Screenshot_20251218_075409_Instagram.jpg'],['David Wengrow'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q64594136,,Q64594136,David Wengrow,British archaeologist,,https://www.wikidata.org/wiki/Q64594136,,https://en.wikipedia.org/wiki/David_Wengrow,David Wengrow,arqueólogo; estudioso de pré-historia,outros
Denise Ferreira Da Silva,1,['Screenshot_20251218_075434_Instagram.jpg'],['Denise Ferreira Da Silva'],afro-brasileiro(a),desconhecido,feminino,desconhecido,https://www.wikidata.org/wiki/Q115750026,,https://www.wikidata.org/wiki/Q115750026,,Q115750026,Denise Ferreira da Silva,filósofa e artista visual brasileira,,https://www.wikidata.org/wiki/Q115750026,https://pt.wikipedia.org/wiki/Denise_Ferreira_da_Silva,https://en.wikipedia.org/wiki/Denise_Ferreira_da_Silva,Denise Ferreira Da Silva,filósofo; escritor; artista visual,academia/intelectual
Dipesh Chakrabarty,1,['Screenshot_20251218_075426_Instagram.jpg'],['Dipesh Chakrabarty'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q251282,,Q251282,Dipesh Chakrabarty,historiador indiano,,https://www.wikidata.org/wiki/Q251282,https://pt.wikipedia.org/wiki/Dipesh_Chakrabarty,https://en.wikipedia.org/wiki/Dipesh_Chakrabarty,Dipesh Chakrabarty,autor; historiador; sociólogo; antropólogo; professor universitário,academia/intelectual
Edouard Glissant,1,['Screenshot_20251218_075426_Instagram.jpg'],['Edouard Glissant'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q274319,,Q274319,Édouard Glissant,"escritor, poeta, romancista, teatrólogo e ensaísta francês",,https://www.wikidata.org/wiki/Q274319,https://pt.wikipedia.org/wiki/Édouard_Glissant,https://en.wikipedia.org/wiki/Édouard_Glissant,Édouard Glissant,escritor; poeta; romancista; professor universitário; crítico literário,academia/intelectual
Franz Knappik,1,['Screenshot_20251218_075409_Instagram.jpg'],['Franz Knappik'],desconhecido,desconhecido,desconhecido,desconhecido,,,,,,,,,,,,,,desconhecido
Hannah Arendt,1,['Screenshot_20251218_075418_Instagram.jpg'],['Hannah Arendt'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q60025,,Q60025,Hannah Arendt,"escritora e pensadora judia, nascida na Alemanha e radicada nos EUA",,https://www.wikidata.org/wiki/Q60025,https://pt.wikipedia.org/wiki/Hannah_Arendt,https://en.wikipedia.org/wiki/Hannah_Arendt,Hannah Arendt,filósofo; historiador; escritor; cientista político; ensaísta,academia/intelectual
Homi K Bhabha,1,['Screenshot_20251218_075423_Instagram.jpg'],['Homi K Bhabha'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q325741,,Q325741,Homi K. Bhabha,Indian critical theorist (born 1949),,https://www.wikidata.org/wiki/Q325741,https://pt.wikipedia.org/wiki/Homi_K._Bhabha,https://en.wikipedia.org/wiki/Homi_K._Bhabha,Homi K. Bhabha,filósofo; professor; crítico literário; professor; historiador literário,academia/intelectual
Ismail Xavier,1,['Screenshot_20251218_075421_Instagram.jpg'],['Ismail Xavier'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q101242567,,Q101242567,Ismail Xavier,professor universitário e pesquisador ativo no Brasil,,https://www.wikidata.org/wiki/Q101242567,https://pt.wikipedia.org/wiki/Ismail_Xavier,,Ismail Xavier,professor universitário; teórico de cinema,academia/intelectual
Jacques Derrida,1,['Screenshot_20251218_075426_Instagram.jpg'],['Jacques Derrida'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q130631,,Q130631,Jacques Derrida,filósofo francés,,https://www.wikidata.org/wiki/Q130631,https://pt.wikipedia.org/wiki/Jacques_Derrida,https://en.wikipedia.org/wiki/Jacques_Derrida,Jacques Derrida,filósofo; crítico literário; professor universitário; escritor,academia/intelectual
Jean-Christophe Goddard,1,['Screenshot_20251218_075434_Instagram.jpg'],['Jean-Christophe Goddard'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q3164750,,Q3164750,Jean-Christophe Goddard,professor francês,,https://www.wikidata.org/wiki/Q3164750,,,Jean-Christophe Goddard,professor universitário; filósofo; tradutor,academia/intelectual
Johann Pall Arnason,1,['Screenshot_20251218_075423_Instagram.jpg'],['Johann Pall Arnason'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q12025777,,Q12025777,Jóhann Páll Árnason,Icelandic sociologist,,https://www.wikidata.org/wiki/Q12025777,,,Johann Pall Arnason,pedagogo; sociólogo,outros
John Locke,1,['Screenshot_20251218_075412_Instagram.jpg'],['John Locke'],ingleses,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q9353,,https://www.wikidata.org/wiki/Q9353,,Q9353,John Locke,filósofo e médico inglês (1632–1704),,https://www.wikidata.org/wiki/Q9353,https://pt.wikipedia.org/wiki/John_Locke,https://en.wikipedia.org/wiki/John_Locke,John Locke,filósofo; político; médico; escritor; cientista,academia/intelectual
José Carlos Mariátegui,1,['Screenshot_20251218_075418_Instagram.jpg'],['José Carlos Mariátegui'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q335544,,Q335544,José Carlos Mariátegui,Peruvian writer and academic (1894–1930),,https://www.wikidata.org/wiki/Q335544,https://pt.wikipedia.org/wiki/José_Carlos_Mariátegui,https://en.wikipedia.org/wiki/José_Carlos_Mariátegui,José Carlos Mariátegui,jornalista; sociólogo; editor; political theorist; ensaísta,academia/intelectual
Juan Ginés de Sepúlveda,1,['Screenshot_20251218_075412_Instagram.jpg'],['Juan Ginés de Sepúlveda'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q940132,,Q940132,Juan Ginés de Sepúlveda,Spanish philosopher and theologian (1490-1573),,https://www.wikidata.org/wiki/Q940132,https://pt.wikipedia.org/wiki/Juan_Ginés_de_Sepúlveda,https://en.wikipedia.org/wiki/Juan_Ginés_de_Sepúlveda,Juan Ginés de Sepúlveda,humanista do Renascimento; poeta; filósofo; político; tradutor,academia/intelectual
Lélia Gonzalez,1,['Screenshot_20251218_075426_Instagram.jpg'],['Lélia Gonzalez'],afro-brasileiro(a); negro,desconhecido,feminino,desconhecido,https://www.wikidata.org/wiki/Q10321947,,https://www.wikidata.org/wiki/Q10321947,,Q10321947,Lélia Gonzalez,ativista e intelectual brasileira,,https://www.wikidata.org/wiki/Q10321947,https://pt.wikipedia.org/wiki/Lélia_Gonzalez,https://en.wikipedia.org/wiki/Lélia_Gonzalez,Lélia Gonzalez,antropólogo; professor; político; ativista de direitos humanos; filósofo,academia/intelectual
María Lugones,1,['Screenshot_20251218_075434_Instagram.jpg'],['María Lugones'],desconhecido,desconhecido,feminino,lesbianidade,,,https://www.wikidata.org/wiki/Q6761379,https://www.wikidata.org/wiki/Q6761379,Q6761379,Maria Lugones,"filósofa, feminista, professora e ativista argentina",,https://www.wikidata.org/wiki/Q6761379,https://pt.wikipedia.org/wiki/María_Lugones,https://en.wikipedia.org/wiki/Maria_Lugones,María Lugones,filósofo; sociólogo; professor universitário; ativista pelos direitos das mulheres,academia/intelectual
Nascimento Abdias,1,['Screenshot_20251218_075434_Instagram.jpg'],['Nascimento Abdias'],afro-brasileiro(a),desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q2737040,,https://www.wikidata.org/wiki/Q2737040,,Q2737040,Abdias do Nascimento,"ator, poeta, escritor, dramaturgo, artista plástico, professor, político e ativista brasileiro",,https://www.wikidata.org/wiki/Q2737040,https://pt.wikipedia.org/wiki/Abdias_do_Nascimento,https://en.wikipedia.org/wiki/Abdias_do_Nascimento,Abdias do Nascimento,político; pintor; ator; escritor; produtor de teatro,artes/letras
Nelson Maldonado-Torres,1,['Screenshot_20251218_075434_Instagram.jpg'],['Nelson Maldonado-Torres'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q113774586,,Q113774586,Nelson Maldonado Torres,professor of philosophy,,https://www.wikidata.org/wiki/Q113774586,,https://en.wikipedia.org/wiki/Nelson_Maldonado-Torres,Nelson Maldonado-Torres,teólogo; filósofo; académico,academia/intelectual
Norman Ajari,1,['Screenshot_20251218_075431_Instagram.jpg'],['Norman Ajari'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q63197428,,Q63197428,Norman Ajari,American-French philosopher,,https://www.wikidata.org/wiki/Q63197428,,,Norman Ajari,filósofo,academia/intelectual
Oswald de Andrade,1,['Screenshot_20251218_075423_Instagram.jpg'],['Oswald de Andrade'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q561169,,Q561169,Oswald de Andrade,"poeta, escritor, ensaísta e dramaturgo brasileiro",,https://www.wikidata.org/wiki/Q561169,https://pt.wikipedia.org/wiki/Oswald_de_Andrade,https://en.wikipedia.org/wiki/Oswald_de_Andrade,Oswald de Andrade,poeta; dramaturgo; escritor; jornalista; romancista,artes/letras
Paulo Emílio Salles Gomes,1,['Screenshot_20251218_075421_Instagram.jpg'],['Paulo Emílio Salles Gomes'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q2064014,,Q2064014,Paulo Emílio,Brazilian journalist and author (1916–1977),,https://www.wikidata.org/wiki/Q2064014,https://pt.wikipedia.org/wiki/Paulo_Emílio_(crítico_de_cinema),https://en.wikipedia.org/wiki/Paulo_Emílio_Sales_Gomes,Paulo Emílio Salles Gomes,jornalista; escritor; professor universitário,academia/intelectual
Pierre Charbonnier,1,['Screenshot_20251218_075409_Instagram.jpg'],['Pierre Charbonnier'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q93725925,,Q93725925,Pierre Charbonnier,filósofo francês,,https://www.wikidata.org/wiki/Q93725925,,https://en.wikipedia.org/wiki/Pierre_Charbonnier,Pierre Charbonnier,filósofo,academia/intelectual
Ramón Grosfoguel,1,['Screenshot_20251218_075434_Instagram.jpg'],['Ramón Grosfoguel'],desconhecido,desconhecido,masculino,desconhecido,,,https://www.wikidata.org/wiki/Q19363185,,Q19363185,Ramón Grosfoguel,Puerto Rican sociologist,,https://www.wikidata.org/wiki/Q19363185,,https://en.wikipedia.org/wiki/Ramón_Grosfoguel,Ramón Grosfoguel,sociólogo,outros
Rita Laura Segato,1,['Screenshot_20251218_075437_Instagram.jpg'],['Rita Laura Segato'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q28791291,,Q28791291,Rita Laura Segato,antropóloga argentina,,https://www.wikidata.org/wiki/Q28791291,https://pt.wikipedia.org/wiki/Rita_Laura_Segato,https://en.wikipedia.org/wiki/Rita_Laura_Segato,Rita Laura Segato,antropólogo,academia/intelectual
Susan Buck-Morss,1,['Screenshot_20251218_075409_Instagram.jpg'],['Susan Buck-Morss'],desconhecido,desconhecido,feminino,desconhecido,,,https://www.wikidata.org/wiki/Q3267701,,Q3267701,Susan Buck-Morss,filósofa norte-americana,,https://www.wikidata.org/wiki/Q3267701,,https://en.wikipedia.org/wiki/Susan_Buck-Morss,Susan Buck-Morss,filósofo; sociólogo; cientista político,academia/intelectual
Thomas Hobbes,1,['Screenshot_20251218_075409_Instagram.jpg'],['Thomas Hobbes'],ingleses,desconhecido,masculino,desconhecido,https://www.wikidata.org/wiki/Q37621,,https://www.wikidata.org/wiki/Q37621,,Q37621,Thomas Hobbes,Filósofo britânico,,https://www.wikidata.org/wiki/Q37621,https://pt.wikipedia.org/wiki/Thomas_Hobbes,https://en.wikipedia.org/wiki/Thomas_Hobbes,Thomas Hobbes,cientista político; matemático; filósofo; economista; político,academia/intelectual
Vladimir Ilitch Lenin,1,['Screenshot_20251218_075418_Instagram.jpg'],['Vladimir Ilitch Lenin'],russos,desconhecido,masculino,heterossexualidade,https://www.wikidata.org/wiki/Q1394,,https://www.wikidata.org/wiki/Q1394,https://www.wikidata.org/wiki/Q1394,Q1394,Vladimir Lenine,líder fundador da União Soviética de 1922 a 1924,,https://www.wikidata.org/wiki/Q1394,https://pt.wikipedia.org/wiki/Lenin,https://en.wikipedia.org/wiki/Vladimir_Lenin,Vladimir Lenin,político; escritor; economista; advogado; revolucionário,artes/letras
